,GENERAL LEDGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January - Februari 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account 1101 (Cash/Bank),,,,,,,,,,Account 2101 (AP Trade Local – Non Related Parties),,,,,,,,,,Account 3101 (Paid in Capital – PT. Dharma Automotive),,,,,,,,,,Account 4101 (Sales),,,,,,,,,,Account 5101 (COGS),,,,,,,,,,Account 6101 (Electricity Expense),,,,,,,
,Januari,,,,,,,,,,Januari,,,,,,,,,,Januari,,,,,,,,,,Januari,,,,,,,,,,Januari,,,,,,,,,,Januari,,,,,,,
,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit
,1/2/2024,1101,D,Pembentukan perusahaan dan penanaman modal,"50,000,000,000.00",0.00,"50,000,000,000.00",0.00,,,1/10/24,2101,K,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia dengan total Rp. 2,675,000,000.00,-",0.00,"2,969,250,000.00",0.00,"2,969,250,000.00",,,1/2/2024,3101,K,Pembentukan perusahaan dan penanaman modal,0.00,"30,000,000,000.00",0.00,"30,000,000,000.00",,,1/27/2024,4101,K,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",0.00,"400,000,000.00",0.00,"400,000,000.00",,,1/27/2024,5101,D,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-","200,000,000.00",0.00,"200,000,000.00",0.00,,,1/31/2024,6101,D,"Penerimaan  tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 72.500.000,- untuk tagihan listrik bulan Januari 2024.","72,500,000.00",0.00,"72,500,000.00",0.00
,1/3/2024,1101,K,Pembelian aset gedung dan bangunan,0.00,"27,750,000,000.00","50,000,000,000.00","27,750,000,000.00",,,Jumlah Bulan Januari,,,,,,0.00,"2,969,250,000.00",,,Jumlah Bulan Januari,,,,,,0.00,"30,000,000,000.00",,,1/30/2024,4101,K,"Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",0.00,"372,000,000.00",0.00,"772,000,000.00",,,1/30/2024,5101,D,"Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-","150,000,000.00",0.00,"350,000,000.00",0.00,,,Jumlah Bulan Januari,,,,,,"72,500,000.00",0.00
,1/5/2024,1101,K,"Pembayaran premi asuransi selama 1 tahun kepada PT. Mitra Iswara sebesar Rp. 120.000.000,- untuk gedung dan bangunan",0.00,"120,000,000.00","50,000,000,000.00","27,870,000,000.00",,,End Balance Bulan Januari,,,,,,"-2,969,250,000.00",,,,End Balance Bulan Januari,,,,,,"-30,000,000,000.00",,,,Jumlah Bulan Januari,,,,,,0.00,"772,000,000.00",,,Jumlah Bulan Januari,,,,,,"350,000,000.00",0.00,,,End Balance Bulan Januari,,,,,,"72,500,000.00",
,1/20/2024,1101,K,"Pembayaran tagihan PT. Anugrah Terindah untuk perlengkapan kantor sebesar Rp. 16,650,000.00.- invoice tanggal 05 Januari 2024.",0.00,"16,650,000.00","50,000,000,000.00","27,886,650,000.00",,,Februari,,,,,,,,,,,,,,,,,,,,End Balance Bulan Januari,,,,,,"-772,000,000.00",,,,End Balance Bulan Januari,,,,,,"350,000,000.00",,,,Februari,,,,,,,
,1/20/2024,1101,K,"Pembayaran tagihan PT. Era Jaya Swasembada Tbk untuk pembelian laptop sebesar Rp. 166,500,000.00,- invoice tanggal 05 Januari 2024.",0.00,"166,500,000.00","50,000,000,000.00","28,053,150,000.00",,,09-Feb-24,2101,D,"Pembayaran tagihan PT. Ewindo Indonesia untuk pembelian bahan baku produksi (Wire) sebesar Rp. 2.969.250.000,- untuk invoice tanggal 10 Januari 2024 ","2,969,250,000.00",0.00,"2,969,250,000.00",0.00,,,,,,,,,,,,,Februari,,,,,,,,,,Februari,,,,,,,,,,29-Feb-24,6101,D,"Penerimaan tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 75.000.000,- untuk tagihan listrik bulan Februari 2024.","75,000,000.00",0.00,"75,000,000.00",0.00
,1/25/2024,1101,K,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",0.00,"695,000,000.00","50,000,000,000.00","28,748,150,000.00",,,12-Feb-24,2101,K,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia sebesar Rp. 10,200,000,000.00,-",0.00,"11,322,000,000.00",0.00,"11,322,000,000.00",,,Account 3102 (Paid in Capital – PT. Abadi Makmur Jaya),,,,,,,,,,02-Feb-24,4101,K,"Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-",0.00,"1,457,000,000.00",0.00,"1,457,000,000.00",,,02-Feb-24,5101,D,"Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-","423,150,000.00",0.00,"423,150,000.00",0.00,,,Jumlah Bulan Februari,,,,,,"75,000,000.00",0.00
,1/31/2024,1101,K,Pembayaran tagihan sewa 1 unit Mobil Alphard ke PT. Adi Sarana Armada Tbk untuk invoice tanggal 12 Januari 2024,0.00,"10,900,000.00","50,000,000,000.00","28,759,050,000.00",,,Jumlah Bulan Januari,,,,,,"2,969,250,000.00","11,322,000,000.00",,,Januari,,,,,,,,,,12-Feb-24,4101,K,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-",0.00,"929,250,000.00",0.00,"2,386,250,000.00",,,12-Feb-24,5101,D,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-","286,650,000.00",0.00,"709,800,000.00",0.00,,,End Balance Bulan Februari,,,,,,"147,500,000.00",
,Jumlah Bulan Januari,,,,,,"50,000,000,000.00","28,759,050,000.00",,,End Balance Bulan Januari,,,,,,"-11,322,000,000.00",,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,14-Feb-24,4101,K,"Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- ",0.00,"1,015,450,000.00",0.00,"3,401,700,000.00",,,14-Feb-24,5101,D,"Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- ","313,950,000.00",0.00,"1,023,750,000.00",0.00,,,,,,,,,,
,End Balance Bulan Januari,,,,,,"21,240,950,000.00",,,,,,,,,,,,,,1/2/2024,3101,K,Pembentukan perusahaan dan penanaman modal,0.00,"10,000,000,000.00",0.00,"10,000,000,000.00",,,19-Feb-24,4101,K,"Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-",0.00,"987,800,000.00",0.00,"4,389,500,000.00",,,19-Feb-24,5101,D,"Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-","300,300,000.00",0.00,"1,324,050,000.00",0.00,,,,,,,,,,
,FEBRUARI,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Januari,,,,,,0.00,"10,000,000,000.00",,,21-Feb-24,4101,K,"Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer.",0.00,"1,168,750,000.00",0.00,"5,558,250,000.00",,,21-Feb-24,5101,D,"Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer.","341,250,000.00",0.00,"1,665,300,000.00",0.00,,,Account 6102 (Salaries Expense – DL),,,,,,,
,01-Feb-24,1101,D,Tambahan modal dari PT. Dharma Automotive,"50,000,000,000.00",0.00,"50,000,000,000.00",0.00,,,Account 2102 (Other Payable – Non Related Parties),,,,,,,,,,End Balance Bulan Januari,,,,,,"-10,000,000,000.00",,,,26-Feb-24,4101,K,"Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- ",0.00,"809,100,000.00",0.00,"6,367,350,000.00",,,26-Feb-24,5101,D,"Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- ","245,700,000.00",0.00,"1,911,000,000.00",0.00,,,Januari,,,,,,,
,01-Feb-24,1101,K,Pembayaran deposito ke Bank BCA,0.00,"30,000,000,000.00","50,000,000,000.00","30,000,000,000.00",,,Januari,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Februari,,,,,,0.00,"6,367,350,000.00",,,Jumlah Bulan Februari,,,,,,"1,911,000,000.00",0.00,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit
,02-Feb-24,1101,K,"Pembayaran tagihan PT. Konsultan Enginering sebesar Rp. 21.800.000,- dari invoice tanggal 20 Januari 2024",0.00,"21,800,000.00","50,000,000,000.00","30,021,800,000.00",,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,,,,,,,,,,,End Balance Bulan Februari,,,,,,"-7,139,350,000.00",,,,End Balance Bulan Februari,,,,,,"2,261,000,000.00",,,,1/25/2024,6102,D,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-","500,000,000.00",0.00,"500,000,000.00",0.00
,05-Feb-24,1101,K,Pembayaran tagihan pembelian 2 mobil merek Toyota Avanza sebesar Rp. 610.500.000 dari invoice 5 Januari 2024,0.00,"610,500,000.00","50,000,000,000.00","30,632,300,000.00",,,1/4/2024,2102,K,"Pembelian mesin produksi sebanyak 5 unit kepada PT. KM Digitech dengan harga per unit sebesar Rp. 1.500.000.000,-",0.00,"8,325,000,000.00",0.00,"8,325,000,000.00",,,Account 3103 (Paid in Capital – PT. Electrical Engineering),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Januari,,,,,,"500,000,000.00",0.00
,07-Feb-24,1101,K,"Pembayaran tagihan PT. Cikarang Listrindo Tbk untuk listrik bulan Januari 2024 sebesar Rp. 72.500.000,- invoice tanggal 31 Januari 2025",0.00,"72,500,000.00","50,000,000,000.00","30,704,800,000.00",,,1/5/2024,2102,K,Pembelian 2 kendaraan operasional merek Toyota Avanza kepada PT. Toyota Astra Motor seharga Rp. 275.000.000/unit,0.00,"610,500,000.00",0.00,"8,935,500,000.00",,,Januari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End Balance Bulan Januari,,,,,,"500,000,000.00",
,07-Feb-24,1101,K,"Pembayaran tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 dari  sebesar Rp. 10.900.000,- invoice tanggal 31 Januari 2024",0.00,"10,900,000.00","50,000,000,000.00","30,715,700,000.00",,,1/5/2024,2102,K,Pembelian laptop 10 unit kepada PT. Era Jaya Swasembada Tbk dengan harga Rp. 15.000.000/unit,0.00,"166,500,000.00",0.00,"9,102,000,000.00",,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,Account 4102 (Interest Revenue),,,,,,,,,,,,,,,,,,,,Februari,,,,,,,
,09-Feb-24,1101,K,"Pembayaran tagihan PT. Ewindo Indonesia untuk pembelian bahan baku produksi (Wire) sebesar Rp. 2.969.250.000,- untuk invoice tanggal 10 Januari 2025",0.00,"2,969,250,000.00","50,000,000,000.00","33,684,950,000.00",,,1/5/2024,2102,K,"Pembelian peralatan kantor kepada PT. Anugrah Terindah dengan total Rp. 15,000,000.00,-",0.00,"16,650,000.00",0.00,"9,118,650,000.00",,,1/2/2024,3101,K,Pembentukan perusahaan dan penanaman modal,0.00,"10,000,000,000.00",0.00,"10,000,000,000.00",,,Februari,,,,,,,,,,,,,,,,,,,,23-Feb-24,6102,D,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-","1,750,000,000.00",0.00,"1,750,000,000.00",0.00
,12-Feb-24,1101,K,Pembayaran tagihan PT. Indojaya Electric atas pembelian 10 unit CCTV untuk invoice tanggal 13 Januari 2024.,0.00,"13,320,000.00","50,000,000,000.00","33,698,270,000.00",,,1/5/2024,2102,K,Pembelian peralatan pabrik sebanyak 10 unit kepada PT. KM Digitech dengan harga Rp. 200.000.000/unit,0.00,"2,220,000,000.00",0.00,"11,338,650,000.00",,,Jumlah Bulan Januari,,,,,,0.00,"10,000,000,000.00",,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,,,,,,,,,,,Jumlah Bulan Februari,,,,,,"1,750,000,000.00",0.00
,12-Feb-24,1101,K,"Pengajuan Uang Muka perjalanan dinas luar negeri ke Jepang untuk meeting dengan PT. Takagi International dengan biaya Rp. 35.000.000,-",0.00,"35,000,000.00","50,000,000,000.00","33,733,270,000.00",,,1/12/2024,2102,K,Penyewaan 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk,0.00,"10,900,000.00",0.00,"11,349,550,000.00",,,End Balance Bulan Januari,,,,,,"-10,000,000,000.00",,,,29-Feb-24,4102,K,Penerimaan bunga deposito di Bank BCA periode Februari 2025,0.00,"145,000,000.00",0.00,"145,000,000.00",,,,,,,,,,,,,End Balance Bulan Februari,,,,,,"2,250,000,000.00",
,14-Feb-24,1101,K,Pembayaran tagihan PT. Daya Digital Indonesia atas annual licensing Software Enginering CATIA invoice tanggal 15 Januari 2024.,0.00,"66,600,000.00","50,000,000,000.00","33,799,870,000.00",,,1/13/2024,2102,K,Pembelian 10 unit CCTV kepada PT. Indojaya Electric dengan harga Rp. 1.200.000/unit,0.00,"13,320,000.00",0.00,"11,362,870,000.00",,,,,,,,,,,,,Jumlah Bulan Januari,,,,,,0.00,"145,000,000.00",,,,,,,,,,,,,,,,,,,,
