,,,,,,,,,,,,,,,,,,,,,
,,STATEMENT OF PROFIT & LOSS,,,,,,,,,,STATEMENT OF PROFIT & LOSS,,,,,,,,,
,,-- Januari 2024 --,,,,,,,,,,-- Februari 2024 --,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Sales,,,,"772,000,000.00",,,,,,Sales,,,,"6,367,350,000.00",,,,,
,,,,Total Sales,,"772,000,000.00",100.00%,,,,,,,Total Sales,,"6,367,350,000.00",100.00%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Operation Expense,,,,,,,,,,Operation Expense,,,,,,,,0.260295361,
,,COGS ,,,,"350,000,000.00",,,,,,COGS ,,,,"1,911,000,000.00",,,,0.1265061996,
,,Electricity Expenses,,,,"72,500,000.00",,,,,,Electricity Expenses,,,,"75,000,000.00",,,,,
,,Salary - DL,,,,"500,000,000.00",,,,,,Salary - DL,,,,"1,750,000,000.00",,,,"2,261,000,000.00",0.3001248557
,,Salary - IDL,,,,"100,000,000.00",,,,,,Salary - IDL,,,,"750,000,000.00",,,,"2,250,000,000.00",0.4515222188
,,Depreciation - Machine,,,,"78,125,000.00",,,,,,Depreciation - Machine,,,,"182,291,666.67",,,,"850,000,000.00",
,,Depreciation - Factory Equipment,,,,"41,666,666.67",,,,,,Depreciation - Factory Equipment,,,,"41,666,666.67",,,,"525,000,000.00",
,,,,Total Operation Expense,,"1,142,291,666.67",147.97%,,,,,,,Total Operation Expense,,"4,709,958,333.33",73.97%,,,"400,000,000.00",
,,,,Gross Profit,,"-370,291,666.67",-47.97%,,,,,,,Gross Profit,,"1,657,391,666.67",26.03%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,General & Administrative Expense,,,,,,,,,,General & Administrative Expense,,,,,,,,,
,,Salaries Expense – GA,,,,"150,000,000.00",,,,,,Salaries Expense – GA,,,,"375,000,000.00",,,,,
,,Training Expense,,,,"20,000,000.00",,,,,,Training Expense,,,,0.00,,,,,
,,Vehicle Rent Expense,,,,"10,000,000.00",,,,,,Vehicle Rent Expense,,,,"10,000,000.00",,,,,
,,Internet Expense,,,,"10,000,000.00",,,,,,Internet Expense,,,,"10,000,000.00",,,,,
,,Trucking Expense,,,,"200,000,000.00",,,,,,Trucking Expense,,,,"200,000,000.00",,,,,
,,Office Supplies Expense,,,,0.00,,,,,,Office Supplies Expense,,,,"3,500,000.00",,,,,
,,Office Travel Expense – Overseas,,,,0.00,,,,,,Office Travel Expense – Overseas,,,,"35,000,000.00",,,,,
,,Insurance Expense,,,,"10,000,000.00",,,,,,Insurance Expense,,,,"10,000,000.00",,,,,
,,License Expense,,,,"5,000,000.00",,,,,,License Expense,,,,"5,000,000.00",,,,,
,,Depreciation – Building,,,,"104,166,666.67",,,,,,Depreciation – Building,,,,"104,166,666.67",,,,,
,,Depreciation – Vehicle,,,,"9,166,666.67",,,,,,Depreciation – Vehicle,,,,"9,166,666.67",,,,,
,,Depreciation – IT Equipment,,,,"3,375,000.00",,,,,,Depreciation – IT Equipment,,,,"3,375,000.00",,,,,
,,Depreciation – Office Equipment,,,,"312,500.00",,,,,,Depreciation – Office Equipment,,,,"312,500.00",,,,,
,,Amortization – Intangible,,,,"4,166,666.67",,,,,,Amortization – Intangible,,,,"4,166,666.67",,,,,
,,,,Total GA Expense,,"526,187,500.00",68.16%,,,,,,,Total GA Expense,,"769,687,500.00",12.09%,,,,
,,,,Operating Profit (Loss),,"-896,479,166.67",-116.12%,,,,,,,Operating Profit (Loss),,"887,704,166.67",13.94%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Other income (expense),,,,,,,,,,Other income (expense),,,,,,,,,
,,Interest Revenue,,,,0.00,,,,,,Interest Revenue,,,,"145,000,000.00",,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Total Other Income (Expense),,0.00,0.00%,,,,,,,Total Other Income (Expense),,"145,000,000.00",2.28%,,,,
,,Net Profit (Loss) Before Tax,,,,"-896,479,166.67",-116.12%,,,,,Net Profit Before Tax,,,,"1,032,704,166.67",16.22%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Tax ,,,,"-197,225,416.67",,,,,,Tax,,,,"227,194,916.67",,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Net Profit (Loss) After Tax,,,,"-699,253,750.00",-90.58%,,,,,Net Profit After Tax,,,,"805,509,250.00",12.65%,,,,
,,,,,,,,,,,,,,,,,,,,,
