,,,,,,,,,,,,,,,,
,,STATEMENT OF BALANCE SHEET,,,,,,,,STATEMENT OF BALANCE SHEET,,,,,,
,,-- Januari 2024 --,,,,,,,,-- Februari 2024 --,,,,,,
,,,,,,,,,,,,,,,,
,,Current Assets,,,,,,,,Current Assets,,,,,,
,,Cash / Bank,,"21,240,950,000.00",,,,,,Cash / Bank,,"35,178,415,000.00",,,,
,,Deposito,,0.00,,,,,,Deposito,,"30,000,000,000.00",,,,
,,AR Trade Local – Non Related Parties,,"856,920,000.00",,,,,,AR Trade Local – Non Related Parties,,"7,067,758,500.00",,,,
,,Prepaid Insurance,,"110,000,000.00",,,,,,Prepaid Insurance,,"100,000,000.00",,,,
,,Prepaid Other Expense,,"55,000,000.00",,,,,,Prepaid Other Expense,,"50,000,000.00",,,,
,,Prepaid VAT In,,"4,224,220,000.00",,,,,,Prepaid VAT In,,"6,470,805,000.00",,,,
,,Advance Payment – Others,,0.00,,,,,,Advance Payment – Others,,0.00,,,,
,,Inventory – Finished Goods,,"650,000,000.00",,,,,,Inventory – Finished Goods,,"24,979,500.00",,,,
,,Inventory – Raw Material,,"1,665,000,000.00",,,,,,Inventory – Raw Material,,"10,776,638,750.00",,,,
,,Inventory - Semi Finished Goods,,"10,000,000.00",,,,,,Inventory - Semi Finished Goods,,"9,607,166.67",,,,
,,TOTAL CURRENT ASSET,,"28,812,090,000.00",,,,,,TOTAL CURRENT ASSET,,"89,678,203,916.67",,,,
,,Fixed Asset – Building,,"25,000,000,000.00",,,,,,Fixed Asset – Building,,"25,000,000,000.00",,,,
,,Fixed Asset – Machinery,,"7,500,000,000.00",,,,,,Fixed Asset – Machinery,,"17,500,000,000.00",,,,
,,Fixed Asset – Factory Equipment,,"2,000,000,000.00",,,,,,Fixed Asset – Factory Equipment,,"2,000,000,000.00",,,,
,,Fixed Asset – Vehicle,,"550,000,000.00",,,,,,Fixed Asset – Vehicle,,"550,000,000.00",,,,
,,Fixed Asset – IT Equipment,,"162,000,000.00",,,,,,Fixed Asset – IT Equipment,,"162,000,000.00",,,,
,,Fixed Asset – Office Equipment,,"15,000,000.00",,,,,,Fixed Asset – Office Equipment,,"15,000,000.00",,,,
,,Accumulated Depreciation – Building,,"-104,166,666.67",,,,,,Accumulated Depreciation – Building,,"-208,333,333.33",,,,
,,Accumulated Depreciation – Machine,,"-78,125,000.00",,,,,,Accumulated Depreciation – Machine,,"-260,416,666.67",,,,
,,Accumulated Depreciation – Factory Equipment,,"-41,666,666.67",,,,,,Accumulated Depreciation – Factory Equipment,,"-83,333,333.33",,,,
,,Accumulated Depreciation – Vehicle,,"-9,166,666.67",,,,,,Accumulated Depreciation – Vehicle,,"-18,333,333.33",,,,
,,Accumulated Depreciation – IT Equipment,,"-3,375,000.00",,,,,,Accumulated Depreciation – IT Equipment,,"-6,750,000.00",,,,
,,Accumulated Depreciation – Office Equipment,,"-312,500.00",,,,,,Accumulated Depreciation – Office Equipment,,"-625,000.00",,,,
,,,,,,,,,,,,,,,,
,,Total Fixed Assets,,"34,990,187,500.00",,,,,,Total Fixed Assets,,"44,649,208,333.33",,,,
,,Intangible Asset,,"200,000,000.00",,,,,,Intangible Asset,,"200,000,000.00",,,,
,,Accumulated Amortization – Intangible,,"-4,166,666.67",,,,,,Accumulated Amortization – Intangible,,"-8,333,333.33",,,,
,,,,,,,,,,,,,,,,
,,Total Intangible Assets,,"195,833,333.33",,,,,,Total Intangible Assets,,"191,666,666.67",,,,
,,TOTAL NON CURRENT ASSET,,"35,186,020,833.33",,,,,,TOTAL NON CURRENT ASSET,,"44,840,875,000.00",,,,
,,,,,,,,,,,,,,,,
,,TOTAL ASSETS,,"63,998,110,833.33",,,,,,TOTAL ASSETS,,"134,519,078,916.67",,,,0.34
,,AP Trade Local – Non Related Parties,,"2,969,250,000.00",,,,,,AP Trade Local – Non Related Parties,,"11,322,000,000.00",,,,0.26
,,Other Payable – Non Related Parties,,"11,780,620,000.00",,,,,,Other Payable – Non Related Parties,,"21,948,900,000.00",,,,
,,Art 21 Payable,,"55,000,000.00",,,,,,Art 21 Payable,,"125,000,000.00",,,,
,,Art 23 Payable,,"4,800,000.00",,,,,,Art 23 Payable,,"4,400,000.00",,,,
,,VAT Out,,"84,920,000.00",,,,,,VAT Out,,"785,328,500.00",,,,
,,Tax,,"-197,225,416.67",,,,,,Tax,,"227,194,916.67",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,TOTAL LIABILITIES,,"14,697,364,583.33",,,,,,TOTAL LIABILITIES,,"34,412,823,416.67",,,,
,,Paid in Capital – PT. Dharma Automotive,,"30,000,000,000.00",,,,,,Paid in Capital – PT. Dharma Automotive,,"30,000,000,000.00",,,,
,,Paid in Capital – PT. Abadi Makmur Jaya,,"10,000,000,000.00",,,,,,Paid in Capital – PT. Abadi Makmur Jaya,,"10,000,000,000.00",,,,
,,Paid in Capital – PT. Electrical Engineering,,"10,000,000,000.00",,,,,,Paid in Capital – PT. Electrical Engineering,,"10,000,000,000.00",,,,
,,Add Paid in Capital – PT. Dharma Automotive,,0.00,,,,,,Add Paid in Capital – PT. Dharma Automotive,,"50,000,000,000.00",,,,
,,Profit/Loss,,"-699,253,750.00",,,,,,Profit/Loss,,"106,255,500.00",,,,
,,,,,,,,,,,,,,,,
,,TOTAL EKUITAS,,"49,300,746,250.00",,,,,,TOTAL EKUITAS,,"100,106,255,500.00",,,,
,,,,,,,,,,,,,,,,
,,TOTAL LIABILITAS DAN EKUITAS,,"63,998,110,833.33",,,,,,TOTAL LIABILITAS DAN EKUITAS,,"134,519,078,916.67",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CHECK ASSET = LIABILITIES + EQUITY,,,0.00,,,,,CHECK ASSET = LIABILITIES + EQUITY,,,0.00,,,,
,,,,,,,,,,,,,,,,
