,,,,,,,,,,
,,CLOSING ENTRIES,,,,,,CLOSING ENTRIES,,
,,-- Januari 2024 --,,,,,,-- Februari 2024 --,,
,,,,,,,,,,
,,Keterangan,Debit,Kredit,,,,Keterangan,Debit,Kredit
,,,,,,,,,,
,,Sales,"772,000,000.00",,,,,Sales,"6,367,350,000.00",
,,Income Summary (Loss),,"772,000,000.00",,,,Income Summary,,"6,367,350,000.00"
,,,,,,,,,,
,,,,,,,,,,
,,Income Summary,"1,668,479,166.67",,,,,Income Summary,"5,479,645,833.33",
,,Electricity Expense,,"72,500,000.00",,,,Electricity Expense,,"75,000,000.00"
,,Salaries Expense – DL,,"500,000,000.00",,,,Salaries Expense – DL,,"1,750,000,000.00"
,,Salaries Expense – IDL,,"100,000,000.00",,,,Salaries Expense – IDL,,"750,000,000.00"
,,Salaries Expense – GA,,"150,000,000.00",,,,Salaries Expense – GA,,"375,000,000.00"
,,Training Expense,,"20,000,000.00",,,,Training Expense,,0.00
,,Vehicle Rent Expense,,"10,000,000.00",,,,Vehicle Rent Expense,,"10,000,000.00"
,,Internet Expense,,"10,000,000.00",,,,Internet Expense,,"10,000,000.00"
,,Trucking Expense,,"200,000,000.00",,,,Trucking Expense,,"200,000,000.00"
,,Office Supplies Expense,,0.00,,,,Office Supplies Expense,,"3,500,000.00"
,,Office Travel Expense – Overseas,,0.00,,,,Office Travel Expense – Overseas,,"35,000,000.00"
,,Insurance Expense,,"10,000,000.00",,,,Insurance Expense,,"10,000,000.00"
,,License Expense,,"5,000,000.00",,,,License Expense,,"5,000,000.00"
,,Depreciation – Building,,"104,166,666.67",,,,Depreciation – Building,,"104,166,666.67"
,,Depreciation – Machine,,"78,125,000.00",,,,Depreciation – Machine,,"182,291,666.67"
,,Depreciation – Factory Equipment,,"41,666,666.67",,,,Depreciation – Factory Equipment,,"41,666,666.67"
,,Depreciation – Vehicle,,"9,166,666.67",,,,Depreciation – Vehicle,,"9,166,666.67"
,,Depreciation – IT Equipment,,"3,375,000.00",,,,Depreciation – IT Equipment,,"3,375,000.00"
,,Depreciation – Office Equipment,,"312,500.00",,,,Depreciation – Office Equipment,,"312,500.00"
,,Amortization – Intangible,,"4,166,666.67",,,,Amortization – Intangible,,"4,166,666.67"
,,COGS,,"350,000,000.00",,,,COGS,,"1,911,000,000.00"
,,,,,,,,,,
,,Net Profit Before Tax,"2,440,479,166.67",,,,,Net Profit Before Tax,"11,846,995,833.33",
,,Income Summary (Loss),,"2,440,479,166.67",,,,Income Summary,,"11,846,995,833.33"
,,,,,,,,,,
,,TOTAL,"4,880,958,333.33","4,880,958,333.33",,,,TOTAL,"23,693,991,666.67","23,693,991,666.67"
