,,,,,,,,,,,,,
,,STATEMENT OF CASH FLOW,,,,,,,,STATEMENT OF CASH FLOW,,,
,,--Januari 2024--,,,,,,,,--Februari 2024--,,,
,,,,,,,,,,,,,
,,Saldo awal kas,,,,,,,,Saldo awal kas,,,"21,240,950,000.00"
,,,,,,,,,,,,,
,,Arus Kas Dari Kegiatan Operasional,,,,,,,,Arus Kas Dari Kegiatan Operasional,,,
,,,,,,,,,,,Inflow penjualan,"856,920,000.00",
,,,,,,,,,,02/29/2024,Inflow deposito,"145,000,000.00",
,,,,,,,,,,,,,
,,,Adjustment :,,,,,,,,Adjustment :,,
,,01/05/2024,"Pembayaran premi asuransi selama 1 tahun kepada PT. Mitra Iswara sebesar Rp. 120.000.000,- untuk gedung dan bangunan","-120,000,000.00",,,,,,02/02/2024,"Pembayaran tagihan PT. Konsultan Enginering sebesar Rp. 21.800.000,- dari invoice tanggal 20 Januari 2024","-21,800,000.00",
,,01/25/2024,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-","-695,000,000.00",,,,,,02/05/2024,Pembayaran tagihan pembelian 2 mobil merek Toyota Avanza sebesar Rp. 610.500.000 dari invoice 5 Januari 2024,"-610,500,000.00",
,,01/31/2024,Pembayaran tagihan sewa 1 unit Mobil Alphard ke PT. Adi Sarana Armada Tbk untuk invoice tanggal 12 Januari 2024,"-10,900,000.00",,,,,,02/07/2024,"Pembayaran tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 dari  sebesar Rp. 10.900.000,- invoice tanggal 31 Januari 2024","-10,900,000.00",
,,,,,,,,,,02/07/2024,"Pembayaran tagihan PT. Cikarang Listrindo Tbk untuk listrik bulan Januari 2024 sebesar Rp. 72.500.000,- invoice tanggal 31 Januari 2024","-72,500,000.00",
,,,,,,,,,,02/09/2024,"Pembayaran tagihan PT. Ewindo Indonesia untuk pembelian bahan baku produksi (Wire) sebesar Rp. 2.969.250.000,- untuk invoice tanggal 10 Januari 2024 ","-2,969,250,000.00",
,,,,,,,,,,02/12/2024,"Pengajuan Uang Muka perjalanan dinas luar negeri ke Jepang untuk meeting dengan PT. Takagi International dengan biaya Rp. 35.000.000,-","-35,000,000.00",
,,,,,,,,,,02/14/2024,Pembayaran tagihan PT. Daya Digital Indonesia atas annual licensing Software Enginering CATIA invoice tanggal 15 Januari 2024.,"-66,600,000.00",
,,,,,,,,,,02/15/2024,"Pembelian office supplies sebesar Rp. 3.500.000,- yang dibayarkan secara tunai.","-3,885,000.00",
,,,,,,,,,,02/15/2024,Pembayaran PPh 21 dan PPh 23 untuk masa pajak Januari 2024,"-59,800,000.00",
,,,,,,,,,,02/23/2024,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-","-2,750,000,000.00",
,,,,,,,,,,02/29/2024,Pembayaran sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.,"-10,900,000.00",
,,,,,,,,,,02/29/2024,Pembayaran tagihan dari PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 untuk invoice tanggal 31 Januari 2024,"-218,000,000.00",
,,,,,,,,,,,,,
,,Jumlah Kas Tersedia Dari Kegiatan Operasional,,,"-825,900,000.00",,,,,Jumlah Kas Tersedia Dari Kegiatan Operasional,,,"-5,827,215,000.00"
,,,,,,,,,,,,,
,,Arus Kas Dari Kegiatan Investasi,,,,,,,,Arus Kas Dari Kegiatan Investasi,,,
