,GENERAL JOURNAL,,,,,,,,,GENERAL JOURNAL,,,,,,
,JANUARI 2024,,,,,,,,,FEBRUARI 2024,,,,,,
,,,,,,,,,,,,,,,,
,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Remarks,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Remarks
,,,,,,,,,,,,,,,,
,1/2/2024,1101,D,Cash / Bank,"50,000,000,000.00",,Pembentukan perusahaan dan penanaman modal,,,01-Feb-24,1101,D,Cash / Bank,"50,000,000,000.00",,Tambahan modal dari PT. Dharma Automotive
,1/2/2024,3101,K,Paid in Capital – PT. Dharma Automotive,,"30,000,000,000.00",Pembentukan perusahaan dan penanaman modal,,,01-Feb-24,3201,K,Add Paid in Capital – PT. Dharma Automotive,,"50,000,000,000.00",Tambahan modal dari PT. Dharma Automotive
,1/2/2024,3102,K,Paid in Capital – PT. Abadi Makmur Jaya,,"10,000,000,000.00",Pembentukan perusahaan dan penanaman modal,,,,,,,,,
,1/2/2024,3103,K,Paid in Capital – PT. Electrical Engineering,,"10,000,000,000.00",Pembentukan perusahaan dan penanaman modal,,,01-Feb-24,1102,D,Deposito,"30,000,000,000.00",,Pembayaran deposito ke Bank BCA
,,,,,,,,,,01-Feb-24,1101,K,Cash / Bank,,"30,000,000,000.00",Pembayaran deposito ke Bank BCA
,1/3/2024,1201,D,Fixed Asset – Building,"25,000,000,000.00",,Pembelian aset gedung dan bangunan,,,,,,,,,
,1/3/2024,1108,D,Prepaid VAT In,"2,750,000,000.00",,Pembelian aset gedung dan bangunan,,,02-Feb-24,4101,K,Sales,,"1,457,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-"
,1/3/2024,1101,K,Cash / Bank,,"27,750,000,000.00",Pembelian aset gedung dan bangunan,,,02-Feb-24,2105,K,VAT Out,,"160,270,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-"
,,,,,,,,,,02-Feb-24,1104,K,Inventory – Finished Goods,,"423,150,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-"
,1/4/2024,1202,D,Fixed Asset – Machinery,"7,500,000,000.00",,"Pembelian mesin produksi sebanyak 5 unit kepada PT. KM Digitech dengan harga per unit sebesar Rp. 1.500.000.000,-",,,02-Feb-24,5101,D,COGS,"423,150,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-"
,1/4/2024,1108,D,Prepaid VAT In,"825,000,000.00",,"Pembelian mesin produksi sebanyak 5 unit kepada PT. KM Digitech dengan harga per unit sebesar Rp. 1.500.000.000,-",,,02-Feb-24,1103,D,AR Trade Local – Non Related Parties,"1,617,270,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Suzuki Motor Indonesia sebanyak 15.500 Pcs dengan harga @94,000/Pcs sebesar Rp. 1.457.000.000,-"
,1/4/2024,2102,K,Other Payable – Non Related Parties,,"8,325,000,000.00","Pembelian mesin produksi sebanyak 5 unit kepada PT. KM Digitech dengan harga per unit sebesar Rp. 1.500.000.000,-",,,,,,,,,
,,,,,,,,,,02-Feb-24,2102,D,Other Payable – Non Related Parties,"21,800,000.00",,"Pembayaran tagihan PT. Konsultan Enginering sebesar Rp. 21.800.000,- dari invoice tanggal 20 Januari 2024"
,1/5/2024,1203,D,Fixed Asset – Factory Equipment,"2,000,000,000.00",,Pembelian peralatan pabrik sebanyak 10 unit kepada PT. KM Digitech dengan harga Rp. 200.000.000/unit,,,02-Feb-24,1101,K,Cash / Bank,,"21,800,000.00","Pembayaran tagihan PT. Konsultan Enginering sebesar Rp. 21.800.000,- dari invoice tanggal 20 Januari 2024"
,1/5/2024,1108,D,Prepaid VAT In,"220,000,000.00",,Pembelian peralatan pabrik sebanyak 10 unit kepada PT. KM Digitech dengan harga Rp. 200.000.000/unit,,,,,,,,,
,1/5/2024,2102,K,Other Payable – Non Related Parties,,"2,220,000,000.00",Pembelian peralatan pabrik sebanyak 10 unit kepada PT. KM Digitech dengan harga Rp. 200.000.000/unit,,,05-Feb-24,1202,D,Fixed Asset – Machinery,"10,000,000,000.00",,"Pembelian tambahan 5 mesin produksi dengan biaya sebesar Rp. 2.000.000.000,-/per unit kepada PT. KM Digitech Indonesia."
,,,,,,,,,,05-Feb-24,1108,D,Prepaid VAT In,"1,100,000,000.00",,"Pembelian tambahan 5 mesin produksi dengan biaya sebesar Rp. 2.000.000.000,-/per unit kepada PT. KM Digitech Indonesia."
,1/5/2024,1106,D,Prepaid Insurance,"120,000,000.00",,"Pembayaran premi asuransi selama 1 tahun kepada PT. Mitra Iswara sebesar Rp. 120.000.000,- untuk gedung dan bangunan",,,05-Feb-24,2102,K,Other Payable – Non Related Parties,,"11,100,000,000.00","Pembelian tambahan 5 mesin produksi dengan biaya sebesar Rp. 2.000.000.000,-/per unit kepada PT. KM Digitech Indonesia."
,1/5/2024,1101,K,Cash / Bank,,"120,000,000.00","Pembayaran premi asuransi selama 1 tahun kepada PT. Mitra Iswara sebesar Rp. 120.000.000,- untuk gedung dan bangunan",,,,,,,,,
,,,,,,,,,,05-Feb-24,2102,D,Other Payable – Non Related Parties,"610,500,000.00",,Pembayaran tagihan pembelian 2 mobil merek Toyota Avanza sebesar Rp. 610.500.000 dari invoice 5 Januari 2024
,1/5/2024,1205,D,Fixed Asset – IT Equipment,"150,000,000.00",,Pembelian laptop 10 unit kepada PT. Era Jaya Swasembada Tbk dengan harga Rp. 15.000.000/unit,,,05-Feb-24,1101,K,Cash / Bank,,"610,500,000.00",Pembayaran tagihan pembelian 2 mobil merek Toyota Avanza sebesar Rp. 610.500.000 dari invoice 5 Januari 2024
,1/5/2024,1108,D,Prepaid VAT In,"16,500,000.00",,Pembelian laptop 10 unit kepada PT. Era Jaya Swasembada Tbk dengan harga Rp. 15.000.000/unit,,,,,,,,, 
,1/5/2024,2102,K,Other Payable – Non Related Parties,,"166,500,000.00",Pembelian laptop 10 unit kepada PT. Era Jaya Swasembada Tbk dengan harga Rp. 15.000.000/unit,,,07-Feb-24,2102,D,Other Payable – Non Related Parties,"10,900,000.00",,"Pembayaran tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 dari  sebesar Rp. 10.900.000,- invoice tanggal 31 Januari 2024"
,,,,,,,,,,07-Feb-24,1101,K,Cash / Bank,,"10,900,000.00","Pembayaran tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 dari  sebesar Rp. 10.900.000,- invoice tanggal 31 Januari 2024"
,1/5/2024,1206,D,Fixed Asset – Office Equipment,"15,000,000.00",,"Pembelian peralatan kantor kepada PT. Anugrah Terindah dengan total Rp. 15,000,000.00,-",,,,,,,,,
,1/5/2024,1108,D,Prepaid VAT In,"1,650,000.00",,"Pembelian peralatan kantor kepada PT. Anugrah Terindah dengan total Rp. 15,000,000.00,-",,,07-Feb-24,2102,D,Other Payable – Non Related Parties,"72,500,000.00",,"Pembayaran tagihan PT. Cikarang Listrindo Tbk untuk listrik bulan Januari 2024 sebesar Rp. 72.500.000,- invoice tanggal 31 Januari 2024"
,1/5/2024,2102,K,Other Payable – Non Related Parties,,"16,650,000.00","Pembelian peralatan kantor kepada PT. Anugrah Terindah dengan total Rp. 15,000,000.00,-",,,07-Feb-24,1101,K,Cash / Bank,,"72,500,000.00","Pembayaran tagihan PT. Cikarang Listrindo Tbk untuk listrik bulan Januari 2024 sebesar Rp. 72.500.000,- invoice tanggal 31 Januari 2025"
,,,,,,,,,,,,,,,,
,1/5/2024,1204,D,Fixed Asset – Vehicle,"550,000,000.00",,Pembelian 2 kendaraan operasional merek Toyota Avanza kepada PT. Toyota Astra Motor seharga Rp. 275.000.000/unit,,,09-Feb-24,2101,D,AP Trade Local – Non Related Parties,"2,969,250,000.00",,"Pembayaran tagihan PT. Ewindo Indonesia untuk pembelian bahan baku produksi (Wire) sebesar Rp. 2.969.250.000,- untuk invoice tanggal 10 Januari 2024 "
,1/5/2024,1108,D,Prepaid VAT In,"60,500,000.00",,Pembelian 2 kendaraan operasional merek Toyota Avanza kepada PT. Toyota Astra Motor seharga Rp. 275.000.000/unit,,,09-Feb-24,1101,K,Cash / Bank,,"2,969,250,000.00","Pembayaran tagihan PT. Ewindo Indonesia untuk pembelian bahan baku produksi (Wire) sebesar Rp. 2.969.250.000,- untuk invoice tanggal 10 Januari 2025"
,1/5/2024,2102,K,Other Payable – Non Related Parties,,"610,500,000.00",Pembelian 2 kendaraan operasional merek Toyota Avanza kepada PT. Toyota Astra Motor seharga Rp. 275.000.000/unit,,,,,,,,,
,,,,,,,,,,12-Feb-24,6106,D,Vehicle Rent Expense,"10,000,000.00",,Pengajuan sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,1/10/2024,1105,D,Inventory – Raw Material,"2,675,000,000.00",,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia dengan total Rp. 2,675,000,000.00,-",,,12-Feb-24,1108,D,Prepaid VAT In,"1,100,000.00",,Pengajuan sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,1/10/2024,1108,D,Prepaid VAT In,"294,250,000.00",,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia dengan total Rp. 2,675,000,000.00,-",,,12-Feb-24,2104,D,Art 23 Payable,,"200,000.00",Pengajuan sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,1/10/2024,2101,K,AP Trade Local – Non Related Parties,,"2,969,250,000.00","Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia dengan total Rp. 2,675,000,000.00,-",,,12-Feb-24,2102,K,Other Payable – Non Related Parties,,"10,900,000.00",Pengajuan sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,,,,,,,,,,,,,,,,
,1/12/2024,6106,D,Vehicle Rent Expense,"10,000,000.00",,Penyewaan 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk,,,12-Feb-24,1105,D,Inventory – Raw Material,"10,200,000,000.00",,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia sebesar Rp. 10,200,000,000.00,-"
,1/12/2024,1108,D,Prepaid VAT In,"1,100,000.00",,Penyewaan 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk,,,12-Feb-24,1108,D,Prepaid VAT In,"1,122,000,000.00",,"Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia sebesar Rp. 10,200,000,000.00,-"
,1/12/2024,2104,K,Art 23 Payable,,"200,000.00",Penyewaan 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk,,,12-Feb-24,2101,K,AP Trade Local – Non Related Parties,,"11,322,000,000.00","Pembelian bahan baku produksi (Wire) kepada PT. Ewindo Indonesia sebesar Rp. 10,200,000,000.00,-"
,1/12/2024,2102,K,Other Payable – Non Related Parties,,"10,900,000.00",Penyewaan 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk,,,,,,,,,
,,,,,,,,,,12-Feb-24,4101,K,Sales,,"929,250,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-"
